252	323.1326114	14.435695999999998	1	39	1
49814	2050.417427	26.24672	2	21	1
16639	1851.39271	34.44882	2	16	1
144	236.8060443	15.091864000000001	1	11	1
259	301.82006739999997	14.107612	1	13	1
284	282.12211010000004	15.748032	1	5	1
243	333.6812443	13.12336	1	56	1
29531	1969.795732	31.16798	3	3	1
289	328.0840105	13.12336	1	18	1
232	264.1463785	8.858267999999999	1	46	1
37447	2199.712874	25.590552	2	4	1
47218	2270.32413	28.215224	2	7	1
47266	1967.5353109999999	26.24672	2	7	1
94145	3143.062043	41.994752000000005	2	1	1
9611	1495.968365	25.918636	2	8	1
29862	2045.0354710000001	29.855644	2	14	1
37447	2199.712874	25.590552	2	4	1
16077	1862.156621	26.24672	2	25	1
